	895
UNITED STATES AIR FORCE MATÉRIEL COMMAND WRIGHT-PATTERSON AIR FORCE BASE DISTRIBUTED BY OFFICE OF PUBLICATION BOARD DEPARTMENT OF COMMERCE WASHINGTON	1
ANSI	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH DIVISION OF BIOMETRY AND EPIDEMIOLOGY	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL CENTER FOR HEALTH STATISTICS	1
NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF TRAINING	1
ASSOCIATION FOR STUDY OF HIGHER EDUCATION	1
UNITED STATES DEPARTMENT OF INTERIOR OFFICE OF INDIAN AFFAIRS	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH TECHNICAL SERVICES DIVISION NATIONAL LIBRARY OF MEDICINE	1
NATIONAL INSTITUTES OF HEALTH PUBLIC HEALTH SERVICE DEPARTMENT OF HEALTH AND HUMAN SERVICES	1
BUREAU OF PUBLIC PERSONNEL ADMINISTRATION	1
ERIC CLEARINGHOUSE COMMITTEE ON ON TESTS MEASUREMENT AND EVALUATION EDUCATIONAL TESTING SERVICE	1
PUBLISHED FOR MUSEUM BY SMITHSONIAN INSTITUTION PRESS	1
NATIONAL WETLANDS INVENTORY FISH AND WILDLIFE SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS	1
UNITED STATES DEPART OF INTERIOR GEOLOGICAL SURVEY	1
JOINT COMMITTEE ON LIBRARY CONGRESS OF UNITED STATES	1
PUB UNDER DIRECTION OF UNITED STATES GEORGE WASHINGTON BICENTENNIAL COMMISSION	1
RANSDELL INC PRINTERS	1
UNIVERSITY OF NEW MEXICO DEPARTMENT OF ANTHROPOLOGY OFFICE OF CONTRACT ARCHEOLOGY	1
BELGIAN GOVERNMENT INFORMATIONA CENTER	1
DIRECTOR OF PUBLIC AFFAIRS CENTRAL INTELLIGENCE AGENCY	1
KENNAN INSTITUTE FOR ADVANCED RUSSIAN STUDIES OF WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS	1
NATIONAL ENDOWMENT FOR ARTS RESEARCH DIVISION	1
BLS	1
EDUCATION DEPARTMENT NATIONAL PORTRAIT GALLERY SMITHSONIAN INSTITUTION	1
UNITED STATES GOVERNMENT PRINT OLL	1
UNITED STATES ATOMIC ENERGY COMMISSION OFFICE OF TECHNICAL INFORMATION	1
UNITED STATES GOVERNMENT PRINTING OFFICE 1947 I E	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES HEALTH CARE FINANCING ADMINISTRATION OFFICE OF RESEARCH AND DEMONSTRATIONS	1
DEPARTMENT OF INTERIOR NATIONAL PARKS SERVICE	1
HOUSING AND HOME FINANCE AGENCY OFFICE OF GENERAL CONSUL	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE OFFICE OF PROGRAM DEVELOPMENT AND ANALYSIS	1
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTHEASTERN FOREST EXPERIMENT STATION	1
UNITED STATES AIR FORCE AIR MATERIEL COMMAND WRIGHT-PATTERSON AIR FORCE BASE	1
AMERICAN PSYCHIATRIC PRESS	1
UNITED STATES NAVAL TRAINING DEVICE CENTER	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE PRESERVATION ASSISTANCE DIVISION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTE OF HEALTH NATIONAL CANCER INSTITUTE	1
MATHEMATICAL ASSOCIATION OF AMERICA	1
MUSEUM OF MODERN ART	1
NATIONAL GALLERY OF ART SMITHSONIAN INSTITUTION	1
CORCORAN GALLERY OF ART	1
DEPARTMENT OF NAVY UNITED STATES NAVAL OBSERVATORY	1
UNITED STATES DEPARTMENT OF AGRICULTURE UNITED STATES FOREST SERVICE	1
ACTION NATIONAL CENTER FOR SERVICE-LEARNING	1
EAST-WEST POPULATION INSTITUTE EAST-WEST CENTER	1
STAFF COLLEGE PRESS	1
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF TECHNICAL SERVICES AREA DEVELOPMENT DIVISION	1
RESEARCH STUDIES DIVISION OFFICE OF RESEARCH AND REPORTS UNITED STATES EQUAL OPPORTUNITY COMMISSION	1
UNITED STATES GOV PRINT OFF	1
BUNITED STATES GOVERNMENT PRINTING OFFICE	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES CHILDREN BUREAU NATIONAL CENTER ON CHILD ABUSE AND NEGLECT	1
OFFICE OF CHIEF OF MILITARY HISTORY UNITED STATES ARMY	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL INSTITUTE OF DENTAL RESEARCH	1
DEPARTMENT OF JUSTICE DRUG ENFORCEMENT ADMINISTRATION OFFIE OF COMLIANCE AND REGULATORY AFFAIRS	1
DEPARTMENT OF INTERIOR MINING ENFORCEMENT AND SAFETY ADMINISTRATION TECHNICAL SUPPORT HEALTH TECHNOLOGY DIVISION RADIATION BRANCH DENVER TECHNICAL SUPPORT CENTER	1
DEPARTMENT OF ENERGY OFFICE OF ENERGY TECHNOLOGY OAK RIDGE NATIONAL LABORATORY	1
UNITED STATES GOVERNMENT PRINTING OFFICE 1952	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF LAND MANAGEMENT ARIZONA STATE OFFICE	1
SUPPORT SERVICES OFFICE OF RESEARCH AND DEMONSTRATIONS REHABILITATION SERVICES ADMINISTRATION OFFICE OF HUMAN DEVELOPMENT	1
PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH AND SURGEON GENERAL	1
FOREST SERVICE USDA PACIFIC NORTHWEST REGION	1
UNITED STATES ARMY CORPS OF ENGINEERS COASTAL ENGINEERING RESEARCH CENTER	1
LOS ALAMOS NATIONAL LABORATORY	1
UNITED STATES DEPARTMENT OF LABOR OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION	1
FAIRMONT PRESS	1
NATIONAL EDUCATION ASSOCIATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE DIVISION OF CHRONIC DISEASES GERONTOLOGY BRANCH	1
OFFICE OF CHIEF OF MILITARY HISTORY DEPARTMENT OF ARMY	1
UNITED STATES DEPARTMENT OF INTERIOR HERITAGE CONSERVATION AND RECREATION SERVICE TECHNICAL PRESERVATION SERVICES	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE NATIONAL INSTITUTES OF HEALTH	1
DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOPSHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE	1
PRINTED BY BLAIR AND RIVES	1
UNITED STATES INFORMATION SERVICE	1
UNITED STATES NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION	1
PUB BY NATIONAL PARKS ASSOCIATION	1
UNITED STATES GOVERNMENT PRONT OFF	1
OFFICE OF SURGEON GENERAL AND CENTER OF MILITARY HISTORY UNITED STATES ARMY	1
WILDLIFE MANAGEMENT INSTITUTE	1
PRENTICE-HALL	1
FORECASTING BRANCH DIVISION OF DATA AND INFORMATION DEVELOPMENT NATIONAL INSTITUTE ON DRUG ABUSE	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES HEAD START BUREAU	1
UNITED STATES PRESIDENT	1
COMISSION	1
SURVEY RESEARCH CENTER INSTITUTE FOR SOCIAL RESEARCH UNIVERSITY OF MICHIGAN	1
UNITED STATES OFFICE OF PERSONNEL MANAGEMENT LIBRARY	1
DOCUMENT EXPEDITIONS DOCEX PROJECT EXCHANGE AND GIFT DIVISION LIBRARY OF CONGRESS DISTRIBUTOR	1
WISCONSIN VOCATIONAL STUDIES CENTER UNIVERSITY OF WISCONSIN-MADISON	1
AUBURN UNIVERSITY	1
WATER AND POWER RESOURCES SERVICE	1
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF POLICY AND RESEARCH	1
CENTER PURCHASE FROM PHOTODUPLICATION SERVICE LIBRARY OF CONGRESS	1
DEPARTMENT OF TRANSPORTATION OFFICE OF SECRETARY OFFICE OF ENVIRONMENT AND SAFETY	1
DEPARTMENT OF COMMERCE OFFICE OF FEDERAL STATISTICAL POLICY AND STANDARDS	1
DIVISION OF CHACO RESEARCH NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTE OF MENTAL HEALTH	1
NATIONAL MANPOWER INSTITUTE NATIONAL COMMISSION ON WORKING WOMEN	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF AIR AND WASTE MANAGEMENT OFFICE OF AIR QUALITY PLANNING AND STANDARDS	1
TREASURY DEPARTMENT	1
CONSUMER PRODUCT SAFETY COMMISSION	1
UNITED STATES GEOLOGICAL SURVEY LAND INFORMATION AND ANALYSIS OFFICE	1
UNITED STATES GENERAL ACCOUNTING OFFICE OFFICE OF GENERAL COUNSEL	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH DIVISION OF RESOURCES ANALYSIS OFFICE OF HEW CASE COORDINATOR	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION OFFICE OF COMMUNITY ANTI-CRIME PROGRAMS	1
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF ADMINISTRATION	1
OFFICE OF SCIENCE AND TECHNOLOGY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE FOOD AND DRUG ADMINISTRATION DIVISION OF PRODUCT SURVEILLANCE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL LIBRARY OF MEDICINE WASHINGTON	1
AVAILABLE THROUGH NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS	1
DEPARTMENT OF INTERIOR	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF RESOURCE DEVELOPMENT MANPOWER AND TRAINING BRANCH	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION NATIONAL CENTER FOR EDUCATIONAL STATISTICS	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION CENTER FOR STUDIES OF CHILD AND FAMILY MENTAL HEALTH NATIONAL INSTITUTE OF MENTAL HEALTH	1
NATIONAL CENTER FOR RESEARCH IN VOCATIONAL EDUCATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH DIVISION OF SPECIAL MENTAL HEALTH PROGRAMS	1
OFFICE OF PERSONNEL MANAGEMENT INTERGOVERNMENTAL PERSONNEL PROGRAMS	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL CENTER FOR HEALTH SERVICES RESEARCH	1
UNITED STATES NATIONAL CANCER INSTITUTE DIVISION OF CANCER CONTROL AND REHABILITATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL CENTER FOR HEALTH SERVICES RESEARCH	1
NATIONAL SECURITY AFFAIRS INSTITUTE UNIVERSITY	1
UNITED STATES DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION TRAFIC SAFETY PROGRAMS OFFICE OF DRIVER AND PEDESTRIAN PROGRAMS	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE BUREAU OF HEALTH PLANNING AND RESOURCES DEVELOPMENT	1
PRESIDENT COMMISSION ON COAL	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL BUREAU OF LABORATORIES LABORATORY TRAINING AND CONSULTATION DIVISION VIROLOGY TRAINING BRANCH	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE SOUTHWEST CULTURAL RESOURCES CENTER	1
DEPARTMENT OF TRANSPORTATION COAST GUARD OFFICE OF ENGINEERING NAVAL ENGINEERING DIVISION	1
PUBLIC INFORMATION DEPARTMENT FEDERAL RESERVE BANK OF NEW YORK	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE DIVISION OF RESOURCE DEVELOPMENT SERVICE RESEARCH BRANCH	1
DEPARTMENT OF AGRICULTURE NATIONAL PLANT GENETIC RESOURCES BOARD	1
DEPARTMENT OF NAVY NAVAL RESEARCH LABORARORY OFFICE OF NAVAL RESEARCH	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF ASSISTANT SECRETARY OF EDUCATION NATIONAL CENTER FOR EDUCATION STATISTICS	1
BUREAU OF RADIOLOGICAL HEALTH	1
FEDERAL ENERGY ADMINISTRATION OFFICE OF CONSERVATION STATE PROGRAMS	1
ADVISORY COUNCIL	1
ERIC DOCUMENT REPRODUCTION SERVICE	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE DIVISION OF HEALTH CARE SERVICES	1
DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL WEATHER SERVICE OFFICE OF HYDROLOGY	1
CENTRAL INTELLIGENCE AGENCY UNITED STATES	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT REHABILITATION SERVICES ADMINISTRATION	1
UNITED STATES OFFICE OF EDUCATION NATIONAL INSTITUTE OF EDUCATION	1
APPALACHIAN REGIONAL COMMISSION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH DIVISION OF SURVEILLANCE HAZARD EVALUATION AND FIELD STUDIES	1
BIOLOGICAL SERVICES PROGRAM FISH AND WILDLIFE SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
STUDY TEAM	1
NATIONAL SCIENCE FOUNDATION RESEARCH APPLIED TO NATIONAL NEEDS DIVISION OF EXPLORATORY RESEARCH AND SYSTEMS ANALYSIS	1
DEPARTMENT OF TREASURY OFF OF REVENUE SHARING	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF CHILD SUPPORT ENFORCEMENT	1
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION UNITED STATES GOVERNMENT PRINTING OFFICE	1
OFFICE OF BIOLOGICAL SERVICES FISH AND WILDLIFE SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
COMPUTER METHODS LABORATORY INTERNATIONAL STATISTICAL PROGRAMS CENTER BUREAU OF CENSUS UNITED STATES DEPARTMENT OF COMMERCE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF SECRETARY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF SPECIAL CONCERNS OFFICE FOR ASIAN AMERICAN AFFAIRS	1
HISTORIC AMERICAN ENGINEERING RECORD OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION NATIONAL PARK SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
FEDERAL AVIATION ADMINISTRATION OFFICE OF AVIATION POLICY	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF HUMAN DEVELOPMENT	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA SERVICE LIBRARY AND INFORMATION SERVICES DIVISION ENVIRONMENTAL SCIENCE INFORMATION CENTER	1
NATIONAL SCIENCE FOUNDATION/RESEARCH APPLIED TO NATIONAL NEEDS RANN DIVISION OF EXPLORATORY RESEARCH AND SYSTEMS ANALYSIS	1
PENNSYLVANIA STATE UNIVERSITY COLLEGE OF EARTH AND MINERAL SCIENCES	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT IN COOPERATION WITH UNITED STATES DEPARTMENT OF ENERGY	1
DIVISION OF PUBLIC SERVICES GALLAUDET COLLEGE	1
DISTRIBUTED BY OFFICE OF EXTERNAL AFFAIRS NEW YORK UNIVERSITY	1
INTER-AMERICAN FOUNDATION	1
PERGAMON PRESS	1
UNITED STATES ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD	1
HERITAGE CONSERVATION AND RECREATION SERVICE TECHNICAL PRESERVATION SERVICES DIVISION UNITED STATES DEPARTMENT OF INTERIOR	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE WELFARE ADMINISTRATION DIVISION OF RESEARCH	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON DRUG ABUSE MANPOWER AND TRAINING BRANCH	1
FEDERAL EMERGENCY MANAGEMENT AGENCY NATIONAL FIRE DATA CENTER	1
BUREAU OF LAND MANAGEMENT ARIZONA STATE OFFICE	1
VETERANS ADMINISTRATION CENTRAL OFFICE	1
NATIONAL CENTER FOR HEALTH CARE TECHNOLOGY	1
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE SOUTHEASTERN FOREST EXPERIMENT STATION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH SERVICES ADMINISTRATION BUREAU OF COMMUNITY HEALTH SERVICES	1
GENERAL ORGANIZATION FOR GOVERNMENT PRINT OFFICES	1
B TUCKER SENATE COMMITTEE ON PRINTER	1
NATIONAL COMMITTEE OF UNITED STATES ON INTERNATIONAL INTELLECTUAL COOPERATION	1
PRINTED AT CONGRESSIONAL GOLBE OFFICE	1
DIVISION OF CULTURAL RELATIONS DEPARTMENT OF STATE	1
NOAA/NGSDC DATAMAPPING GROUP DISTRIBUTOR	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA AND INFORMATION SERVICE NATIONAL GEOPHYSICAL AND SOLAR-TERRESTRIAL DATA CENTER	1
UNITED STATES DEPARTMENT OF AGRICULTURE DIVISION OF STATISTICS	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL EARTH SATELLITE SERVICE	1
DEPARTMENT OF INTERIOR SUPERINTENDENT OF DOCUMENTS GOVERNMENT PRINTING OFFICE	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION OFFICE OF HIGHWAY PLANNING	1
BLDG 159 NAVY YARD ANNEX WASHINGTON DISTRIBUTED BY CATALOGING DISTRIBUTION SERVICE	1
PRINTED IN ENGRAVING AND PRINTING DIVISION OF UNITED STATES GEOLOGICAL SURVEY	1
NATIONAL RADIO ASTRONOMY OBSERVATORY	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	1
UNITED STATES DEPARTMENT OF LABOR BUREAU OF INTERNATIONAL LABOR AFFAIRS FOREIGN PUBLICATIONS GROUP	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE CENTER FOR DISEASE CONTROL BUREAU OF HEALTH EDUCATION AND BUREAU OF STATE SERVICES	1
PUBLISHED BY NAVAL EDUCATION AND TRAINING SUPPORT COMMAND FOR CHIEF OF NAVAL EDUCATION AND TRAINING	1
BUREAU OF NATIONAL AFFAIRS	1
PROGRAM	1
FEDERAL COMMUNICATIONS COMMISSION OFFICE OF PUBLIC AFFAIRS EEO-MINORITY ENTERPRISE DIVISION	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE NATIONAL CLEARINGHOUSE COMMITTEE ON ON AGING	1
UNITED STATES LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE	1
FEA	1
COMMITTEE ON FOREIGN AFFAIRS	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE OFFICE OF ASSISTANT SECRETARY FOR HEALTH AND SURGEON GENERAL	1
BUREAU OF LAND MANAGEMENT DESERT PLANNING STAFF	1
AFCC OFFICE OF HISTORY	1
CULTURAL RESOURCES MANAGEMENT DIVISION NATIONAL PARK SERVICE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH JOHN E FOGARTY INTERNATIONAL CENTER FOR ADVANCED STUDY IN HEALTH SCIENCES	1
INTERMOUNTAIN FOREST AND RANGE EXPERIMENT STATION FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	1
HUMAN INTERACTION RESEARCH INSTITUTE	1
OFFICE OF FOREIGN ECONOMIC RESEARCH BUREAU OF INTERNATIONAL LABOR AFFAIRS	1
PUBLISHED FOR ANACOSTIA NEIGHBORHOOD MUSEUM OF SMITHSONIAN INSTITUTION BY SMITHSONIAN INSTITUTION PRESS	1
NATIONAL ADVISORY COUNCIL ON VOCATIONAL EDUCATION	1
WHITE HOUSE OFFICE OF PRESS SECRETARY	1
MANUSCRIPT DIVISION LIBRARY OF CONGRESS	1
NATIONAL INSTITUTE OF CHILD HEALTH AND HUMAN DEVELOPMENT	1
COMMISSION 708 JACKSON PLACE NW WASHINGTON DC 20006	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF EDUCATION BUREAU OF RESEARCH	1
SCHOOL OF SOCIAL WORK UNIVERSITY OF MICHIGAN PUBLISHED IN CONTRACT WITH WASHINGTON D C	1
CENTER FOR ADVANCED STUDY IN BEHAVIORAL SCIENCES	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF INTERNATIONAL AFFAIRS	1
DEPARTMENT OF DEFENSE DEFENSE INTELLIGENSE AGENCY GROUND FORCES BRANCH HANDBOOK AND TACTICAL ANALYSIS SECTION	1
DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTH CENTRAL FOREST EXPERIMENT STATION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION BUREAU OF DRUGS	1
PUBLISHED UNDER AUSPICES OF UNITED STATES AIR FORCE	1
SHIP STRUCTURE COMMITTEE	1
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF POLICY DEVELOPMENT AND RESEARCH DIVISION OF POLICY STUDIES	1
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMICS STATISTICS AND COOPERATIVE SERVICE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE OFFICE OF HUMAN DEVELOPMENT SERVICES ADMINISTRATION FOR CHILDREN YOUTH AND FAMILIES YOUTH DEVELOPMENT BUREAU	1
HISTORIC AMERICAN ENGINEERING RECORD OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION HERITAGE CONSERVATION AND RECREATION SERVICE UNITED STATES DEPARTMENT OF INTERIOR	1
FEC	1
SUPERINTENDENT OF DOCUMENTS UNITED STATES GOVERNMENT PRINTING OFFICE	1
OFFICE OF DEPUTY UNDER SECRETARY FOR MANAGEMENT DEPARTMENT OF STATE	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE BUREAU OF HEALTH MANPOWER DIVISION OF NURSING	1
NAVAL AEROSPACE MEDICAL RESEARCH LABORATORY	1
HIGH ENERGY PHYSICS DIVISION ARGONNE NATIONAL LABORATORY	1
OFFICE OF INCOME SECURITY POLICY OFFICE OF ASSISTANT SECRETARY OF PLANNING AND EVALUATION DEPARTMENT OF HEALTH EDUCATION AND WELFARE	1
UNITED STATES DEPARTMENT OF INTERIOR HERITAGE CONSERVATION AND RECREATION SERVICE OFFICE OF ARCHEOLOGY AND HISTORIC PRESERVATION TECHNICAL PRESERVATION SERVICES DIVISION	1
INTERAGENCY TASK FORCE ON WORKPLACE SAFETY AND HEALTH	1
UNITED STATES FTC	1
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE OFFICE OF DEVELOPMENT TESTING AND DISSEMINATION	1
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH SERVICES ADMINISTRATION BUREAU OF MEDICAL SERVICES	1
UNITED STATES DEPARTMENT OF LABOR OFFICE OF ASSISTANT SECRETARY FOR POLICY EVALUATION AND RESEARCH EMPLOYMENT AND TRAINING ADMINISTRATION	1
DEPARTMENT OF STATE LIBRARY	1
GENERAL SERVICES ADMINISTRATION NATIONAL ARCHIVES AND RECORDS SERVICE	1
NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE TASK FORCE ON ROLE OF SCHOOL LIBRARY MEDIA PROGRAM IN NATIONAL PROGRAM	1
PUBLIC BUILDINGS SERVICE GENERAL SERVICES ADMINISTRATION	1
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION NATIONAL HIGHWAY INSTITUTE	1
DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE WESTERN ARCHEOLOGICAL CENTER CULTURAL RESOURCES MANAGEMENT DIVISION	1
BUREAU OF RECLAMATION	1
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS NORTH CENTRAL REGION V	1
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICES HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER DIVISION OF DENTISTRY	1
CORVALLIS ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES OFFICE OF EDUCATION BUREAU OF RESEARCH	1
